Datetime,Temp_C,Pressure_hpa,Humidity_pc,time_m
2021-12-17 10:42:04.788602,22.57,1002.71,30.62,642.07
2021-12-17 11:02:04.000932,23.22,1002.65,28.83,662.07
2021-12-17 11:22:04.690296,23.10,1002.37,28.85,682.07
2021-12-17 11:42:04.613171,22.65,1002.12,30.11,702.07
2021-12-17 11:42:55.930185,22.65,1002.22,30.15,702.92
2021-12-17 12:02:04.045643,22.44,1001.94,30.83,722.07
2021-12-17 12:22:04.736632,22.32,1001.86,30.57,742.07
2021-12-17 12:42:04.114083,22.96,1001.86,28.80,762.07
2021-12-17 13:02:04.356629,22.45,1001.96,30.48,782.07
2021-12-17 13:22:04.031293,22.43,1001.81,30.59,802.07
2021-12-17 13:42:04.414819,22.21,1001.71,31.00,822.07
2021-12-17 14:02:04.637263,22.32,1001.57,30.55,842.07
2021-12-17 14:22:04.323584,22.50,1001.30,30.17,862.07
2021-12-17 14:42:04.712646,22.49,1001.28,31.01,882.07
2021-12-17 15:02:03.927780,22.63,1001.50,29.96,902.05
2021-12-17 15:22:04.635929,22.52,1001.63,30.24,922.07
2021-12-17 15:42:03.938783,22.65,1001.73,30.04,942.05
2021-12-17 16:02:04.180466,22.55,1001.61,30.06,962.07
2021-12-17 16:22:03.890637,22.34,1001.60,30.82,982.05
2021-12-17 16:42:04.256892,22.21,1001.71,30.83,1002.07
2021-12-17 17:02:04.451324,22.52,1001.92,30.17,1022.07
2021-12-17 17:22:04.178733,22.24,1001.96,30.66,1042.07
2021-12-17 17:42:04.541450,22.21,1002.18,30.51,1062.07
2021-12-17 18:02:04.779217,22.39,1002.10,30.18,1082.07
2021-12-17 18:22:04.482409,22.26,1001.73,30.56,1102.07
2021-12-17 18:42:04.881884,22.22,1001.63,30.47,1122.07
2021-12-17 19:02:04.383673,22.28,1001.67,30.44,1142.07
2021-12-17 19:22:04.037882,22.03,1001.77,31.04,1162.07
2021-12-17 19:42:04.438440,22.41,1001.58,30.10,1182.07
2021-12-17 20:02:05.536033,22.24,1001.57,30.52,1202.08
2021-12-17 20:22:04.272046,22.14,1001.25,30.54,1222.07
2021-12-17 20:42:05.400150,22.33,1000.81,30.23,1242.08
2021-12-17 21:02:05.055925,22.08,1000.33,30.66,1262.08
2021-12-17 21:22:04.757256,22.20,1000.22,30.33,1282.07
2021-12-17 21:42:04.159006,22.28,1000.12,30.22,1302.07
